date,enddate,piece,role,presenter,location,city,state,notes
1/12/2022,,,Presentation,Composition Seminar,University of Victoria (remote),Victoria,Canada,
12/3/2021,,,FluCoMa Workshop,,Massechusettes Institute of Technology,Cambridge,MA,
12/3/2021,12/4/2021,,FluCoMa Workshop,,New England Conservatory,Boston,MA,
12/2/2021,,,FluCoMa Workshop,,Berklee School of Music,Boston,MA,
12/2/2021,,still motion,,Mise-en Ensemble,Mise-en Place,New York,NY,Josh Perry
12/2/2021,,,FluCoMa Workshop,,Harvard University,Cambridge,MA,
12/1/2021,,,FluCoMa Presentation,,Columbia & Bell Labs,New York,NY,
11/30/2021,,,Presentation,Composition Seminar,New York University,New York,NY,
11/29/2021,,,FluCoMa Workshop,,Princeton University,Princeton,NJ,
11/24/2021,11/26/2021,,FluCoMa Workshop,,McGill (CIRMMT),Montreal,QC,
11/17/2021,,,Presentation,Brad Spiers Music and AI Course,University of Chicago (remote),Chicago ,IL,
11/8/2021,11/12/2021,,FluCoMa Workshop,,Hogeschool voor de Kunsten,Utrecht,NL,
10/16/2021,,,improv,Southwest Electronic Music Festival,Arizona State University,Phoenix,AZ,with Kyle Hutchins
10/16/2021,,,FluCoMa Workshop,,Arizona State University,Phoenix,AZ,
10/10/2021,,,FluCoMa Workshop,,University of Chicago,Chicago,IL,
10/9/2021,,,FluCoMa Workshop,,School at the Art Institute of Chicago,Chicago,IL,
10/8/2021,,,Presentation,Composition Seminar,DePaul University,Chicago,IL,
10/7/2021,,,FluCoMa Presentation,Digital Media Workshop,University of Chicago,Chicago,IL,
10/3/2021,,FEATHERMUCKER,,Ear Taxi Festival,,Chicago,IL,The Dream Songs Project
10/3/2021,,feed,,Ear Taxi Festival,Constellation,Chicago,IL,with Ben Roidl-Ward
10/2/2021,,lacunae,,Ear Taxi Festival,University of Chicago,Chicago,IL,Wet Ink
7/27/2021,,hollow,,International Computer Music Conference (ICMC),,Santiago,Chile,with Kyle Hutchins
7/23/2021,,noise/gate,,ilSUONO,,Città di Castello,Italy,Giacomo Piermatti
6/21/2021,,,Artist Presentation,SICPP,New England Conservatory (remote),Boston,MA,
5/20/2021,,Aluminum Forest,,American Academy in Rome,Villa Aurelia,Rome,Italy,
5/20/2021,,,improv,American Academy in Rome,Villa Aurelia,Rome,Italy,with Fabrizio Spera
12/11/2020,,triangle,,National Sawdust,,New York,NY,JACK Quartet
11/20/2020,,squal,,Charlotte New Music,,Charlotte,NC,Erin Rogers
8/18/2020,,still motion,,Mise-en Ensemble,Mise-en Place,New York,NY,Josh Perry
6/9/2020,,for line upon line,,Victoria Bach Festival,Victoria Bach Festival,Victoria,TX,Line Upon Line Percussion
3/29/2020,,hold,,Civic Orchestra of Chicago,,Chicago,IL,
3/7/2020,,APSIS,,Seensound: Visual/Music Series,Loop Project Bar,Melbourne,AUS,
2/28/2020,2/29/2020,,Director,CHIMEFest 2020: CIRCULATIONS,University of Chicago,Chicago,IL,
2/28/2020,,,Presentation,CHIMEFest 2020: CIRCULATIONS,University of Chicago,Chicago,IL,"_Interference Patters: analysis of interacting feedbacks in ""hollow""_"
1/19/2020,1/25/2020,,Technician,Gray Center,University of Chicago,Chicago,IL,"_MUSIC'S OVER: Listening with Peter Ablinger_ (festival), technical support for Wet Ink, Aperiodic Ensemble"
1/18/2020,,,improv,,Slate Arts,Chicago,IL,with Weston Olencki
12/12/2019,,,Artist Presentation,"Arts, Sciences, and Culture Initiative",University of Chicago,Chicago,IL,
12/1/2019,,fiery walls,,,BEAST,Birmingham,UK,Chris Goodchild
11/22/2019,,,Presentation,FluCoMa Plenary,University of Huddersfield,Huddersfield,UK,_Preserving User-Defined Expression through Dimensionality Reduction_
11/18/2019,,,improv,,Hundred Years Gallery,London,UK,"with Benedict Taylor, Tonia Ko, Olivier Stankeweicz"
11/15/2019,,,improv,,de Roze Tanker,Amsterdam,NL,with Anne La Berge
11/14/2019,,,improv,,de Ruimte,Amsterdam,NL,"with Anne La Berge, Yung-Tuan Ku"
11/8/2019,,tap,,,Hochschule für Musik,Freiburg,DE,Line Upon Line Percussion
11/5/2019,,tap,,,City University,London,UK,Line Upon Line Percussion
11/3/2019,,iterative systems,(album release),Frequency Series,Constellation,Chicago,IL,with Kyle Hutchins
10/25/2019,,,improv,Sean Hamilton,Elastic Arts,Chicago,IL,Sean Hamilton
10/21/2019,,,improv,Option Series,Experimental Sound Studio,Chicago,IL,with Kyle Bruckmann and Macie Stewart
10/10/2019,,,Presenation,Digital Media Workshop,"MADD Center, University of Chicago",Chicago,IL,Machine Learning Applications for Live Computer Music Performance
10/9/2019,,,improv,,Que4 Radio,Chicago,IL,with Emerson Hunton
10/4/2019,,,improv,Lauren Hayes,Slate Arts,Chicago,IL,"with Lauren Hayes, Sarah Plum, and Daniel Wyche"
9/25/2019,,it teaches us that it doesn't exist,,Fulcrum Point New Music,Elastic Arts,Chicago,IL,
9/23/2019,,,improv,Weston Olencki,Arete,Brooklyn,NY,with Weston Olencki
8/8/2019,,,improv,Chris Brown,Center for New Music,San Francisco,CA,with Tom Weeks
7/1/2019,,crunch,,Deathstare Duo,The Walden School,Dublin,NH,with Dana Jessen and Erica Dicker
6/9/2019,,still motion,,Talea Ensemble,Flea Theater,New York,NY,Matt Gold
6/9/2019,,it teaches us that it doesn't exist,,Talea Ensemble,Flea Theater,New York,NY,
5/15/2019,,BODYTALK,,Sophia Bell,Logan Center for the Arts,Chicago,IL,Sound Design
5/11/2019,,,improv,VAMP,VAMP,Oakland,CA,with Tom Weeks
5/2/2019,,,improv,CHIMEFEST,Logan Center for the Arts,Chicago,IL,"with Weston Olenki, Matt Barbier, and Katie Young"
5/1/2019,,,Presentation,CHIMEFEST,Logan Center for the Arts,Chicago,IL,_Approaches to Live Performance and Composition with Machine Learning and Music Information Retrieval Analysis_
4/14/2019,,,improv,,Elastic Arts,Chicago,IL,with Hannah Judd
4/12/2019,,where is where we are,,~Nois Saxophone Quartet,Hairpin Arts Center,Chicago,IL,
4/9/2019,,feed,,Ars Electroacoustica,Elastic Arts,Chicago,IL,with Ben Roidl-Ward
3/31/2019,,crunch,,Deathstare Duo,Constellation,Chicago,IL,with Dana Jessen and Erica Dicker
3/29/2019,,,improv,,Elastic Arts,Chicago,IL,"with Dana Jessen, Erica Dicker, and Katie Young"
3/28/2019,,,improv,,Elastic Arts,Chicago,IL,with Emerson Hunton and Eric Krouse
3/22/2019,,it teaches us that it doesn't exist,"composer, performer",New Music Chicago - Impromptu Fest,Guarneri Hall,Chicago,IL,
3/22/2019,,,improv,New Music Chicago - Impromptu Fest,Guarneri Hall,Chicago,IL,with Tonia Ko
3/14/2019,,tap,,SXSW,Parker Jazz Club,Austin,TX,Line Upon Line Percussion
3/9/2019,,,improv,MOXsonic,Central Missouri University,Warrensburg,MO,with Kyle Hutchins and Sean Hamilton
2/14/2019,,still motion,,Center for Collaborative Arts and Media,Yale University,New Haven,CT,Matt Gold
2/9/2019,,,improv,N_SEME,University of Virginia,Charlottesville,VA,with Kyle Hutchins and Alex Christie
2/5/2019,,patina,,University of Chicago Music Department,Chicago Symphony Center,Chicago,IL,Chicago Civic Orchestra
2/4/2019,,column,,Kyle Hutchins: Faculty Recital,Virginia Tech,Blacksburg,VA,Kyle Hutchins
2/3/2019,,still motion,,Patti Cudd,University of Wisconsin Whitewater,Whitewater,WI,"Patti Cudd, Jeff Harriot"
2/1/2019,,still motion,,Patti Cudd,Northwestern University,Evanston,IL,Patti Cudd
1/12/2019,,tap,,Line Upon Line Percussion,First Street Studio,Austin,TX,Line Upon Line Percussion
12/9/2018,,,improv,University of Chicago Music Department,Logan Center for the Arts,Chicago,IL,with Emerson Hunton
11/28/2018,,still motion b,,WMU Music Department (Chris Biggs),Western Michigan University,Kalamazoo,MI,
11/8/2018,,hollow,,SPLICE Festival,Bowling Green State University,Bowling Green,OH,with Kyle Hutchins
11/2/2018,,feed,,Oscillations Series,Experimental Sound Studio,Chicago,IL,with Ben Roidl-Ward
10/1/2018,,,Presentation,Mayfield School District,Mayfield School District,Cleveland,OH,Facilitated a Rhythm Pedagogy Workshop
9/8/2018,,FEATHERMUCKER,,Pittsburgh Festival of New Muisc,Aftershock Theater,Pittsburgh,PA,The Dream Songs Project
8/9/2018,,column,,Spatial Music Workshop,The Cube at Virginia Tech,Blacksburg,VA,
7/27/2018,,feedback xii,,Omaha Under the Radar,OUTr Spaces,Omaha,NE,
7/27/2018,,it teaches us that it doesn't exist,,Omaha Under the Radar,OUTr Spaces,Omaha,NE,
7/27/2018,,still motion b,,Omaha Under the Radar,OUTr Spaces,Omaha,NE,
7/18/2018,,still motion,,New York City Electroacoustic Music Festival,Abrons Art Center,New York,NY,Patti Cudd
7/16/2018,,hollow,,,Internationales Musikinstitut Darmstadt,Darmstadt,DE,with Kyle Hutchins
7/16/2018,,,improv,,Internationales Musikinstitut Darmstadt,Darmstadt,DE,with Yung-Tuan Ku
7/12/2018,,hollow,,World Saxophone Congress,Zagreb Academy of Music,Zagreb,HR,with Kyle Hutchins
7/5/2018,,,improv,,STEIM,Amsterdam,NL,with Yung-Tuan Ku
6/16/2018,,still motion,,,The Walden School,Dublin,NH,Matt Gold
6/9/2018,,still motion,,,Mass MoCA,North Adams,MA,Matt Gold
5/26/2018,,the curve is exponential,,Carillon Festival,University of Chicago,Chicago,IL,Joey Brink
5/16/2018,,,improv,,Cafe Mustache,Chicago,IL,with Emerson Hunton
5/12/2018,,"feedback vii: speak, contain",,UChicago Presents,University of Chicago,Chicago,IL,Imani Winds
4/21/2018,,feedback viii: hollow,,NUNC3,Northwestern University,Evanston,IL,
4/12/2018,4/14/2018,Broken Jug,,UChicago Presents,University of Chicago,Chicago,IL,Sound Design
4/7/2018,,,improv,,Slate Arts,Chicago,IL,with Emerson Hunton
4/5/2018,,circle,,CHIMEFEST,University of Chicago,Chicago,IL,Spektral Quartet
3/30/2018,,Feedback X,,,Narloch Piano Studio,Chicago,IL,"eurorack modular synth, lighting design, laptop, no-input mixer, tubes, feedback cymbal"
3/16/2018,,it teaches us that it doesn't exist,,BEAMS Marathon Festival,Brandeis University,Waltham,MA,
3/13/2018,,improv,,,Elastic Arts,Chicago,IL,with Ben Roidl-Ward
3/10/2018,,still motion b,,MOXsonic,Central Missouri University,Warrensburg,MO,
3/10/2018,,Solstice Orrery,,Scott Miller,Studio Z,St. Paul,MN,Video Design
3/7/2018,,,improv,,Narloch Piano Studio,Chicago,IL,with Kyle Hutchins
2/23/2018,,,improv,Body Milk Tapes,"Chicago, IL",Chicago,IL,with Emerson Hunton
2/16/2018,2/17/2018,attackSUSTAINrelease,,Precarious Sounds // Sounding Sanctuary,New York University,New York,NY,
1/29/2018,,,improv,Myopic Mondays,Myopic Books,Chicago,IL,with Emerson Hunton
12/2/2017,,the curve is exponential,,Nuclear Reactions,University of Chicago,Chicago,IL,Joey Brink
11/5/2017,,still motion,,New Music Ensemble,University of Chicago,Chicago,IL,John Corkill
10/28/2017,,,improv,North Star Music Festival,Truman State University,Kirksville,MO,
10/28/2017,,it teaches us that it doesn't exist,,North Star Music Festival,Truman State University,Kirksville,MO,
10/28/2017,,still motion b,,North Star Music Festival,Truman State University,Kirksville,MO,
10/28/2017,,Solstice Orrery,,North Star Music Festival,Truman State University,Kirksville,MO,Scott Miller
10/27/2017,,,Presentation,Composition Seminar,Truman State University,Kirksville,MO,
10/27/2017,,,improv,North Star Music Festival,Truman State University,Kirksville,MO,with Tim Aubuchon
10/5/2017,10/6/2017,attackSUSTAINrelease,,Studio 300,Transylvania University,Lexington,KY,
