date,enddate,location,city,state,presenter,piece,role,notes
11/15/2015,,Minneapolis Institute of Arts,Minneapolis,MN,MacPhail Center for Music,solo improvisation,Performer,"Ted Moore, laptop"
11/13/2015,,Studio Z,St. Paul,MN,Zeitgeist New Music Cabaret,if two things don't fit…,"Composer, Performer","Kyle Hutchins,saxophones; Alyssa Anderson, mezzo soprano; Ted Moore, laptop"
11/7/2015,,Honey,Minneapolis,MN,Sarah Porwoll-Lee,leviathan,"Composer, Performer","Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
10/31/2015,,Slam Academy,Minneapolis,MN,Slam Academy,leviathan,"Composer, Performer","Sarah Porwoll-Lee, bass clarinet; Ted Moore, laptop"
10/24/2015,,Truman State University,Kirksville,MO,New Horizons Music Festival,Binary Canary Performance,"Composer, Performer","Kyle Hutchins, woodwinds; Ted Moore, laptop"
10/18/2015,,Honey,Minneapolis,MN,Ars Electroacoustica,improvisation,Performer,"Ted Moore, laptop; Scott Miller, laptop; Davu Seru, drums"
8/30/2015,,Honey,Minneapolis,MN,Ars Electroacoustica,Binary Canary Performance,"Composer, Performer","Kyle Hutchins, woodwinds; Ted Moore, laptop; Scott Miller, laptop; Pat O'Keefe, clarinet"
7/10/2015,,Walden School,Dublin,NH,International Contemporary Ensemble,thread fork thread,Composer,"Ross Karre, perc.; Ryan Muncy, tenor sax.; Alice Teyssier, alto flute; Josh Modney, viola"
6/16/2015,,Studio Z,St. Paul,MN,The New Ruckus Composer Night,Binary Canary Performance,"Composer, Performer","Kyle Hutchins, woodwinds; Ted Moore, laptop"
6/11/2015,,Dreamland Arts,St. Paul,MN,Spitting Image,The Lotus Flower,"Composer, Performer","Kyle Hutchins, alto saxophone; Erika Blanco, violin; Carlynn Savot, cello; Jeremy Johnston, percussion; Ted Moore, laptop"
5/31/2015,,Honey,Minneapolis,MN,Binary Canary,Binary Canary Performance,"Composer, Performer","Kyle Hutchins, woodwinds; Ted Moore, laptop"
5/11/2015,5/22/2015,Kimmel Harding Nelson Center for the Arts,Nebraska City,NE,Kimmel Harding Nelson Center for the Arts,Residency,Composer,
5/3/2015,,Honey,Minneapolis,MN,Spitting Image,The Lotus Flower,"Composer, Performer","Kyle Hutchins, alto saxophone; Erika Blanco, violin; Carlynn Savot, cello; Jeremy Johnston, percussion; Ted Moore, laptop"
5/2/2015,,Studio Z,St. Paul,MN,Spitting Image,The Lotus Flower,"Composer, Performer","Kyle Hutchins, alto saxophone; Erika Blanco, violin; Carlynn Savot, cello; Jeremy Johnston, percussion; Ted Moore, laptop"
4/24/2015,,Baroque Room,St. Paul,MN,RenegadeEnsemble,if two things don't fit…,"Composer, Performer","Kyle Hutchins,saxophones; Alyssa Anderson, mezzo soprano; Ted Moore, laptop"
4/11/2015,,Dreamland Arts,St. Paul,MN,AVIDduo,discreet and discrete,"Composer, Performer","Kyle Hutchins, tenor sax.; Brittany Primavera, flute; Ted Moore, laptop"
4/10/2015,,Studio Z,St. Paul,MN,AVIDduo,discreet and discrete,"Composer, Performer","Kyle Hutchins, tenor sax.; Brittany Primavera, flute; Ted Moore, laptop"
3/14/2015,4/18/2015,The Southern Theater,Minneapolis,MN,Savage Umbrella,These Are The Men,Sound Designer,
2/4/2015,,Antonello Hall MacPhail Center for Music,Minneapolis,MN,Diana Sherry,fiery walls,Composer,"Jim Sherry, tpt.; Ted Moore, laptop"
12/4/2014,12/6/2014,JSB Tek Box at Cowles Center,Minneapolis,MN,Ted Moore & Hannah Holman,Persephone,"Composer, Sound Designer, Performer","Kyle Hutchins, tenor sax.; Maria Ritzenthaler, vla.; Jeremy Johnston, perc.; Gabriel Quenneville-Bélair"
11/14/2014,,Electroacoustic Barn Dance,Fredericksburg,VA,Electroacoustic Barn Dance,eclipse,Composer,"Kyle Hutchins, tenor sax."
11/6/2014,,Studio Z,Saint Paul,MN,Zeitgeist New Music Cabaret,Gilgamesh & Enkidu,Composer,"Hillary Kingsley, violin; Meredith Vaughan, violin; Benjamin Davis, viola; Lars Krogstad-Ortiz, cello"
11/2/2014,,Luther College,Decorah,IA,Leif Larson,do you?,Composer,"Leif Larson, percussion"
11/1/2014,,Gamut Gallery,Minneapolis,MN,Kyle Hutchins & Alyssa Anderson,if two things don't fit…,"Composer, Performer","Kyle Hutchins,saxophones; Alyssa Anderson, mezzo soprano; Ted Moore, laptop"
10/25/2014,,Truman State University,Kirksville,MO,New Horizons Music Festival,eclipse,Composer,"Kyle Hutchins, tenor sax."
10/9/2014,,Luther College,Decorah,IA,Luther College Composition Alumni Festival,eyes may be impaired,Composer,"Du Huang, Xiao Hu, Leif Larson"
7/11/2014,,Walden School,Dublin,NH,"Spektral Quartet & Tim Munro, Walden School",samara,Composer,"Spektral Quartet & Tim Munro, flutes"
6/14/2014,6/15/2014,Minneapolis,Minneapolis,MN,Northern Spark,Minneapolis3,"Composer, Sound Designer, Installation Artist, Performer",
6/8/2014,,Honey,Minneapolis,MN,Spitting Image,leviathan,Composer,"Sarah Porwoll-Lee, bass clarinet"
6/6/2014,,Studio Z,Saint Paul,MN,Spitting Image,leviathan,Composer,"Sarah Porwoll-Lee, bass clarinet"
6/5/2014,,Studio Z,Saint Paul,MN,Robert Martin,Gilgamesh & Enkidu,Composer,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
5/4/2014,,Studio Z,Saint Paul,MN,RenegadeEnsemble,"ice, water",Composer,"Christopher Raddatz, clarinet"
5/2/2014,5/10/2014,Luther College,Decorah,IA,Blake Nellis,HWY 57,Composer,
5/2/2014,5/4/2014,Casket Arts Building,Minneapolis,MN,Savage Umbrella,These Are The Men,Sound Designer,
4/27/2014,,University of Minnesota,Minneapolis,MN,Kyle Hutchins DMA Recital,eclipse,Composer,"Kyle Hutchins, tenor sax."
4/19/2014,5/15/2014,Art Institute International Minnesota,Minneapolis,MN,Art Institute International Minnesota,eclipse (excerpts),Composer,"Kyle Hutchins, tenor sax."
3/18/2014,,Coe College,Cedar Rapids,IA,AvidDUO,deepities,Composer,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
3/18/2014,,Coe College,Cedar Rapids,IA,AvidDUO,is himself no more,Composer,"Kyle Hutchins, tenor sax."
3/18/2014,,Coe College,Cedar Rapids,IA,AvidDUO,of circumstance,Composer,"Brittany Primavera, flute"
3/18/2014,,Coe College,Cedar Rapids,IA,Coe College,Lecture on SuperCollider,Guest Lecturer,
3/17/2014,,Luther College,Decorah,IA,AvidDUO,deepities,Composer,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
3/17/2014,,Luther College,Decorah,IA,AvidDUO,is himself no more,Composer,"Kyle Hutchins, tenor sax."
3/17/2014,,Luther College,Decorah,IA,AvidDUO,of circumstance,Composer,"Brittany Primavera, flute"
3/7/2014,,Nimbus Theater,Minneapolis,MN,Savage Umbrella,Rapture,Composer & Sound Designer,
2/11/2014,,McNally Smith College of Music,Saint Paul,MN,McNally Smith College of Music,Lecture on my music,Guest Lecturer,
2/7/2014,,Denton Women's Club,Denton,TX,AVIDduo,deepities,Composer,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
1/19/2014,,Skewed Visions Studio,Minneapolis,MN,Skewed Visions,eclipse,Composer,"Kyle Hutchins, tenor sax."
1/10/2014,,"Seward, Minneapolis",Minneapolis,MN,Megan Clark,Body House,Sound Designer,
11/25/2013,,St. Paul Central Library,Saint Paul,MN,Springboard for the Arts,"Lament, mvt. III of Gilgamesh & Enkidu",Composer,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
11/8/2013,,Playwrights' Center,Minneapolis,MN,Savage Umbrella,Leaves,Music Director,
11/2/2013,,Truman State University,Kirksville,MO,New Horizons Music Festival,Gilgamesh & Enkidu,Composer,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
10/19/2013,,Eastern Kentucky University,Richmond,KY,SCI Region IV Conference,eyes may be impaired,Composer,
9/25/2013,,University of Minnesota,Minneapolis,MN,AvidDUO,deepities,Composer,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
9/21/2013,,Studio Z,Saint Paul,MN,AvidDUO,deepities,Composer,"Kyle Hutchins, tenor sax.; Brittany Primavera, flute"
8/1/2013,,New Century Theatre,Minneapolis,MN,Minnesota Fringe Festival,Rules of Love,Sound Designer,
7/5/2013,,The Playwrights' Center,Minneapolis,MN,Savage Umbrella,Rain Follows the Plow,Composer & Sound Designer,
6/15/2013,,Conway Community Center,Saint Paul,MN,Saint Paul Public Library,attackSUSTAINrelease,Installation Artist,
5/24/2013,6/2/2013,Jon Hassler Theater,Plainview,MN,Nautilus Music Theater,The View From Here,Sound Designer,
4/28/2013,,Studio Z,Saint Paul,MN,RenegadeEnsemble,is himself no more,Composer,"Kyle Hutchins, tenor sax."
4/19/2013,,Truman State University,Kirksville,MO,TSU Music Department,Lecture on SuperCollider,Guest Lecturer,
4/16/2013,,Studio Z,Saint Paul,MN,American Composers Forum Tuesday Salon,is himself no more (in-progress draft),Composer,"Kyle Hutchins, tenor sax."
4/13/2013,,Art Institute International Minnesota,Minneapolis,MN,Art Institute International Minnesota,fiery walls,Composer,"Recording of Erik Mahon, tpt."
4/13/2013,,Hack Factory,Minneapolis,MN,TC Make's Maker Faire,attackSUSTAINrelease,Installation Artist,
4/12/2013,,Clarke University,Dubuque,IA,SCI Region V Conference,fiery walls,Composer,"Jim Sherry, tpt."
2/18/2013,2/19/2013,University of Minnesota,Minneapolis,MN,Nautilus Music Theater,Thick as a Brick,Percussionist,
2/1/2013,,People's Center Theater,Minneapolis,MN,Savage Umbrella,Emma Woodhouse is NOT a Bitch,Sound Designer,
1/6/2013,,Cedar Cultural Center,Minneapolis,MN,Cedar Cultural Center 416 Club,Gilgamesh & Enkidu,Composer,"Erik Rohde, vln. I; Sam Rudy, vln. II; Benjamin Davis, vla.; Lars Krogstad, cello"
10/15/2012,,Access Contemporary Music,Chicago,IL,Access Contemporary Music,The Eye of Horus,Composer,
9/7/2012,,Nimbus Theater,Minneapolis,MN,Freshwater Theater Company,Since the Kids are Gone…,Sound Designer,
7/1/2012,,Dublin School,Dublin,NH,"Yarn/Wire, The Walden School",eyes may be impaired,Composer,
6/23/2012,,Trinity Chapel,Berkeley,CA,New Music Forum,do you?,Composer,
6/1/2012,,Nimbus Theater,Minneapolis,MN,Savage Umbrella,Care Enough,Composer & Sound Designer,
5/17/2012,5/27/2012,Nautilus Studio,St. Paul,MN,Nautilus Music Theater,The View From Here,Sound Designer,
5/1/2012,,Studio Z,Saint Paul,MN,American Composers Forum Tuesday Salon,fiery walls,Composer,"Erik Mahon, tpt."
4/14/2012,,Studio Z,Saint Paul,MN,Nautilus Music Theater,Europera 5,Sound Designer,
1/13/2012,1/15/2012,Winona State University,Winona,MN,Nautilus Music Theater,Joan of Arc,Sound Designer,
1/5/2012,1/8/2012,Nautilus Studio,St. Paul,MN,Nautilus Music Theater,Joan of Arc,Sound Designer,
10/27/2011,11/6/2011,Nautilus Studio,St. Paul,MN,Nautilus Music Theater,Joan of Arc,Sound Designer,
4/12/2011,,Truman State University,Kirksville,MO,Truman State University,drawing secrets,Composer,
10/30/2010,,Truman State University,Kirksville,MO,Truman State New Music Festival,The Passion of the Infinite,Composer,
10/16/2010,,Iowa State University,Ames,IA,Iowa Composers Forum Fall Festival,of circumstance,Composer,"Chelsea Lundberg, flute"
2/16/2010,,Truman State University,Kirksville,MO,Mostly Live Composers Society,emergence,Composer,"Ben Tate, alto sax."
10/30/2009,,Truman State University,Kirksville,MO,Truman State New Music Festival,Amygdala,Composer,
4/30/2009,,Luther College,Decorah,IA,Studio Recital,Three Songs for Soprano and Piano,Composer,"Sarah Frederickson, sop.; Matt Meyers, pno."
3/8/2009,,Luther College,Decorah,IA,Stacy Duren,The Passion of the Infinite,Composer,"Stacy Duren, violin"
10/24/2008,,Art Haus,Decorah,IA,Art Haus,What it is,Composer,
10/11/2008,,Luther College,Decorah,IA,Music in the Shape of a Pear New Music Festival,Stilled Drops,Composer,"Laura McCarty, cello"
