date,enddate,location,city,state,presenter,piece,role,notes
1/18/2020,,Slate Arts,Chicago,IL,Ted Moore,improv,improviser,with Weston Olencki
12/12/2019,,University of Chicago,Chicago,IL,"Arts, Sciences, and Culture Initiative",Artist Presentation,Artist,
12/1/2019,,BEAST,Birmingham,UK,Chris Goodchild,fiery walls,composer,Chris Goodchild
11/22/2019,,University of Huddersfield,Huddersfield,England,Flucoma Plenary,Preserving User-Defined Expression through Dimensionality Reduction,Researcher,
11/18/2019,,Hundred Years Gallery,London,England,Hundred Years Gallery,improv,improviser,"with Benedict Taylor, Tonia Ko, Olivier Stankeweicz"
11/15/2019,,de Roze Tanker,Amsterdam,Netherlands,de Roze Tanker,improv,improviser,with Anne La Berge
11/14/2019,,de Ruimte,Amsterdam,Netherlands,de Ruimte,improv,improviser,"with Anne La Berge, Yung-Tuan Ku"
11/8/2019,,Hochschule für Musik,Freiburg,Germany,Line Upon Line Percussion,tap,composer,Line Upon Line Percussion
11/5/2019,,City University,London,England,Line Upon Line Percussion,tap,composer,Line Upon Line Percussion
11/3/2019,,Constellation,Chicago,IL,Frequency Series,iterative systems,composer improviser,Binary Canary
10/25/2019,,Elastic Arts,Chicago,IL,Sean Hamilton,improv,improviser,sean hamilton
10/21/2019,,Experimental Sound Studio,Chicago,IL,Option Series,improv,improviser,with Kyle Bruckmann and Macie Stewart
10/10/2019,,"MADD Center, University of Chicago",Chicago,IL,Digital Media Workshop,Machine Learning Applications for Live Computer Music Performance,Researcher,
10/9/2019,,Que4 Radio,Chicago,IL,Que4 Radio,improv,improviser,with Emerson Hunton
10/4/2019,,Slate Arts,Chicago,IL,Lauren Hayes,improv,improviser,"with Lauren Hayes, Sarah Plum, and Daniel Wyche"
9/25/2019,,Elastic Arts,Chicago,IL,Fulcrum Point New Music,it teaches us that it doesn't exist,"composer, performer",Ted Moore
9/23/2019,,Arete,Brooklyn,NY,Weston Olencki,improv,improviser,with Weston Olencki
8/8/2019,,Center for New Music,San Francisco,CA,Chris Brown,improv,improviser,with Tom Weeks
7/1/2019,,The Walden School,Dublin,NH,Deathstare Duo,crunch,composer,"Dana Jessen, bassoon; Erica Dicker, violin; Ted Moore, electronics"
6/9/2019,,Flea Theater,New York,NY,Talea Ensemble,still motion,composer,Matt Gold
6/9/2019,,Flea Theater,New York,NY,Talea Ensemble,it teaches us that it doesn't exist,"composer, performer",Ted Moore
5/15/2019,,Logan Center for the Arts,Chicago,IL,Sophia Bell,BODYTALK,sound designer,
5/11/2019,,VAMP,Oakland,CA,VAMP,improv,improviser,"Tom Weeks, saxophone; Ted Moore, laptop"
5/2/2019,,Logan Center for the Arts,Chicago,IL,CHIMEFEST,improv,improviser,"Weston Olenki, electronics; Matt Barbier, trombone; Katie Young, bassoon and electronics; Ted Moore, electronics"
